  10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
  10.0   74.0  122.0  154.0  170.0  170.0  154.0  122.0   74.0   10.0   10.0   74.0  122.0  154.0  170.0  170.0  154.0  122.0   74.0   10.0
  10.0  122.0  206.0  262.0  290.0  290.0  262.0  206.0  122.0   10.0   10.0  122.0  206.0  262.0  290.0  290.0  262.0  206.0  122.0   10.0
  10.0  154.0  262.0  334.0  370.0  370.0  334.0  262.0  154.0   10.0   10.0  154.0  262.0  334.0  370.0  370.0  334.0  262.0  154.0   10.0
  10.0  170.0  290.0  370.0  410.0  410.0  370.0  290.0  170.0   10.0   10.0  170.0  290.0  370.0  410.0  410.0  370.0  290.0  170.0   10.0
  10.0  170.0  290.0  370.0  410.0  410.0  370.0  290.0  170.0   10.0   10.0  170.0  290.0  370.0  410.0  410.0  370.0  290.0  170.0   10.0
  10.0  154.0  262.0  334.0  370.0  370.0  334.0  262.0  154.0   10.0   10.0  154.0  262.0  334.0  370.0  370.0  334.0  262.0  154.0   10.0
  10.0  122.0  206.0  262.0  290.0  290.0  262.0  206.0  122.0   10.0   10.0  122.0  206.0  262.0  290.0  290.0  262.0  206.0  122.0   10.0
  10.0   74.0  122.0  154.0  170.0  170.0  154.0  122.0   74.0   10.0   10.0   74.0  122.0  154.0  170.0  170.0  154.0  122.0   74.0   10.0
  10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
  10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
  10.0   74.0  122.0  154.0  170.0  170.0  154.0  122.0   74.0   10.0   10.0   74.0  122.0  154.0  170.0  170.0  154.0  122.0   74.0   10.0
  10.0  122.0  206.0  262.0  290.0  290.0  262.0  206.0  122.0   10.0   10.0  122.0  206.0  262.0  290.0  290.0  262.0  206.0  122.0   10.0
  10.0  154.0  262.0  334.0  370.0  370.0  334.0  262.0  154.0   10.0   10.0  154.0  262.0  334.0  370.0  370.0  334.0  262.0  154.0   10.0
  10.0  170.0  290.0  370.0  410.0  410.0  370.0  290.0  170.0   10.0   10.0  170.0  290.0  370.0  410.0  410.0  370.0  290.0  170.0   10.0
  10.0  170.0  290.0  370.0  410.0  410.0  370.0  290.0  170.0   10.0   10.0  170.0  290.0  370.0  410.0  410.0  370.0  290.0  170.0   10.0
  10.0  154.0  262.0  334.0  370.0  370.0  334.0  262.0  154.0   10.0   10.0  154.0  262.0  334.0  370.0  370.0  334.0  262.0  154.0   10.0
  10.0  122.0  206.0  262.0  290.0  290.0  262.0  206.0  122.0   10.0   10.0  122.0  206.0  262.0  290.0  290.0  262.0  206.0  122.0   10.0
  10.0   74.0  122.0  154.0  170.0  170.0  154.0  122.0   74.0   10.0   10.0   74.0  122.0  154.0  170.0  170.0  154.0  122.0   74.0   10.0
  10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0   10.0
